feature_id	modality	model_used	family	alpha	alpha_estimated	converged	dropped_covariates	warning
chr1:1307786-1308731	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr1:1615081-1615893	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr1:2227386-2228299	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr14:81220663-81221541	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr19:41859497-41860387	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr16:9090972-9091894	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr16:53502986-53503900	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr8:25458286-25459168	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr19:10960416-10961319	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr19:49495755-49496659	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr7:44082168-44083093	ATAC	nb_default_alpha	negative_binomial		False	True	False	
chr4:152535836-152536698	ATAC	nb_default_alpha	negative_binomial		False	True	False	
BCL11B:chr1:1060000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ATF7IP:chr1:1065000	RNA	nb_default_alpha	negative_binomial		False	True	False	
QKI:chr1:1070000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FLNA:chr1:1075000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PKN2:chr1:1080000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CAP1:chr1:1085000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SEPTIN9:chr1:1090000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CEP85L:chr1:1095000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CHD1:chr1:1100000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TNRC6A:chr1:1105000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FOXO1:chr1:1110000	RNA	nb_default_alpha	negative_binomial		False	True	False	
DDX21:chr1:1115000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TAPBP:chr1:1120000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ATG7:chr1:1125000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MCL1:chr1:1130000	RNA	nb_default_alpha	negative_binomial		False	True	False	
EIF3A:chr1:1135000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MEF2A:chr1:1140000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ACTR3:chr1:1145000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PUM1:chr1:1150000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PIK3CD:chr1:1155000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TPM3:chr1:1160000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ZNF638:chr1:1165000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ITFG1:chr1:1170000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RAP1A:chr1:1175000	RNA	nb_default_alpha	negative_binomial		False	True	False	
WASF2:chr1:1180000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ADK:chr1:1185000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RBM6:chr1:1190000	RNA	nb_default_alpha	negative_binomial		False	True	False	
BAZ1A:chr1:1195000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ITPR2:chr1:1200000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ARPC3:chr1:1205000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PCM1:chr1:1210000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MAP3K1:chr1:1215000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SEPTIN6:chr1:1220000	RNA	nb_default_alpha	negative_binomial		False	True	False	
KLF12:chr1:1225000	RNA	nb_default_alpha	negative_binomial		False	True	False	
HLA-F:chr1:1230000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PAG1:chr1:1235000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TRAPPC9:chr1:1240000	RNA	nb_default_alpha	negative_binomial		False	True	False	
STAG2:chr1:1245000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ST6GAL1:chr1:1250000	RNA	nb_default_alpha	negative_binomial		False	True	False	
HLA-DRA:chr1:1255000	RNA	nb_default_alpha	negative_binomial		False	True	False	
KTN1:chr1:1260000	RNA	nb_default_alpha	negative_binomial		False	True	False	
EMP3:chr1:1265000	RNA	nb_default_alpha	negative_binomial		False	True	False	
UVRAG:chr1:1270000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CCNY:chr1:1275000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NFKB1:chr1:1280000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FOSB:chr1:1285000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PRMT2:chr1:1290000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ANXA1:chr1:1295000	RNA	nb_default_alpha	negative_binomial		False	True	False	
USP25:chr1:1300000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ARHGAP25:chr1:1305000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RAPGEF6:chr1:1310000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CUX1:chr1:1315000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SMG1:chr1:1320000	RNA	nb_default_alpha	negative_binomial		False	True	False	
