event_id	state_confidence	state	artifact_risk	artifact_reason
BCL11B:chr1:1060000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
ATF7IP:chr1:1065000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
QKI:chr1:1070000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
FLNA:chr1:1075000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
PKN2:chr1:1080000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
CAP1:chr1:1085000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
SEPTIN9:chr1:1090000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
CEP85L:chr1:1095000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
CHD1:chr1:1100000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
TNRC6A:chr1:1105000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
FOXO1:chr1:1110000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
DDX21:chr1:1115000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
TAPBP:chr1:1120000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
ATG7:chr1:1125000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
MCL1:chr1:1130000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
EIF3A:chr1:1135000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
MEF2A:chr1:1140000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
ACTR3:chr1:1145000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
PUM1:chr1:1150000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
PIK3CD:chr1:1155000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
TPM3:chr1:1160000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
ZNF638:chr1:1165000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
ITFG1:chr1:1170000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
RAP1A:chr1:1175000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
WASF2:chr1:1180000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
ADK:chr1:1185000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
RBM6:chr1:1190000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
BAZ1A:chr1:1195000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
ITPR2:chr1:1200000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
ARPC3:chr1:1205000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
PCM1:chr1:1210000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
MAP3K1:chr1:1215000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
SEPTIN6:chr1:1220000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
KLF12:chr1:1225000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
HLA-F:chr1:1230000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
PAG1:chr1:1235000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
TRAPPC9:chr1:1240000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
STAG2:chr1:1245000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
ST6GAL1:chr1:1250000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
HLA-DRA:chr1:1255000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
KTN1:chr1:1260000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
EMP3:chr1:1265000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
UVRAG:chr1:1270000_chr1:1307786-1308731_distal_250kb	1.0	chromatin_primed	low	
